BUSINESS,Industry,Doing Business as,SALES REVENUE ($M),KEY PRINCIPAL
Burke Enterprises Ltd,"Industry: Health and Personal Care Retailers ,  Retail Trade ,  Drug stores",Shoppers Drug Mart,,Jerry Burke
"Baie Verte Consumers Co-Operative Society, Limited","Grocery and Convenience Retailers ,  Building Material and Supplies Dealers ,  Food and Beverage Retailers ,  Retail Trade ,  Grocery stores",,$5.49M,Cletus Kennedy
White Bay Stores Limited,"Building Material and Supplies Dealers ,  Building Material and Garden Equipment and Supplies Dealers ,  Retail Trade ,  Lumber and other building materials ,  Hardware stores",Home Hardware,$3.09M,Kevin Thistle
Wimbleton's Investments Inc,"Department Stores ,  General Merchandise Retailers ,  Retail Trade ,  Department stores",Great Canadian Dollar Store,$2.63M,Edward Wimbleton
Hutchings Sales & Service Inc,"Gasoline Stations ,  Grocery and Convenience Retailers ,  Automotive Parts, Accessories, and Tire Retailers ,  Gasoline service stations ,  Convenience stores Automotive parts",Ultramar,$2.49M,Tom Hutchings
Drs Sales And Service,"Other Motor Vehicle Dealers ,  Motor Vehicle and Parts Dealers ,  Retail Trade ,  Recreational vehicle parts and accessories",,$1.99M,
Bayco Sales & Rentals Limited,"Other Motor Vehicle Dealers ,  Commercial and Industrial Machinery and Equipment Rental and Leasing ,  Automotive Parts, Accessories, and Tire Retailers ,  Snowmobiles ,  Heavy construction equipment rental Automotive parts",Napa Auto Parts,$1.78M,Steve Blanchard
Baie Verte Esso/Color Your Auto Ltd,"Gasoline Stations ,  Grocery and Convenience Retailers ,  Gasoline Stations and Fuel Dealers ,  Retail Trade ,  Gasoline service stations Convenience stores",,$1.42M,Dwayne Rogers
Sealand Diesel Services Ltd,"Engine, Turbine, and Power Transmission Equipment Manufacturing ,  Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,  Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing ,  Electronic and Precision Equipment Repair and Maintenance ,  Automotive Parts, Accessories, and Tire Retailers ,  Automotive Repair and Maintenance ,  Diesel engine rebuilding ,  Welding repair ,  Machine shop, jobbing and repair ,  Hydraulic equipment repair ,  Industrial machinery and equipment repair ,  Automotive parts General automotive repair shops",,$1.11M,Richard Ballott
Noble Distributing Inc,"Beer, Wine, and Liquor Retailers ,  Other Specialty Trade Contractors ,  Food and Beverage Retailers ,  Retail Trade ,  Liquor stores Excavation work",,$0.9M,Greg Noble
Central Convenience,"Grocery and Convenience Retailers ,  Food and Beverage Retailers ,  Retail Trade ,  Grocery stores",,$0.82M,Edgar Breen
DRS Sales & Services Ltd.,"Building Material and Supplies Dealers ,  Building Material and Garden Equipment and Supplies Dealers ,  Retail Trade ,  Paint, glass, and wallpaper stores",,$0.76M,
Ford Enterprises Inc,"Office Supplies, Stationery, and Gift Retailers ,  Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers ,  Retail Trade ,  Gift shop",Baie Verte Flowers & Gifts,$0.54M,Ada Ford
Burton's Carpet And Flooring Ltd,"Building Material and Supplies Dealers ,  Building Material and Garden Equipment and Supplies Dealers ,  Retail Trade ,  Paint, glass, and wallpaper stores",,$0.44M,
